# Generated from https://formulae.brew.sh/api/cask.json
# Updated 2026-09-19; 3165 unique app bundle filenames
# Format: lowercase key<TAB>Homebrew Cask token
0 a.d..app	0-ad
brain.fm.app	brainfm
bramble.app	bramble
brave browser beta.app	brave-browser@beta
brave browser nightly.app	brave-browser@nightly
brave browser.app	brave-browser
brave origin beta.app	brave-origin@beta
brave origin nightly.app	brave-origin@nightly
brave origin.app	brave-origin
breaktimer.app	breaktimer
breitbandmessung.app	breitbandmessung
brewy.app	brewy
bria.app	bria
brickstore.app	brickstore
bridge.app	bridge
brightness sync.app	brightness-sync
brightvpn.app	brightvpn
brilliant.app	brilliant
browser actions.app	browser-actions
browser deputy.app	browser-deputy
browseros.app	browseros
browserstacklocal.app	browserstacklocal
bruno.app	bruno
btcpayserver vault.app	btcpayserver-vault
buckets beta.app	buckets@beta
buckets.app	buckets
bugdom 2.app	bugdom2
bugdom.app	bugdom
buildsettingextractor.app	buildsettingextractor
bunch.app	bunch
burn.app	burn
butler.app	butler
butt.app	butt
butterkit-direct-2.4.06-macos.app	butterkit
bwana.app	bwana
bzflag-2.4.30.app	bzflag
cables.app	cables
cacher.app	cacher
cad assistant.app	cad-assistant
cadran.app	cadran
cad快速看图.app	cadreader
caido.app	caido
calcservice.app	calcservice
calendar 366 ii.app	calendar-366
calendr.app	calendr
calhash.app	calhash
calibre.app	calibre
calibrite profiler.app	calibrite-profiler
calmly writer.app	calmly-writer
calyx.app	calyx
camerabag photo.app	camerabag-photo
cameracontroller.app	cameracontroller
camo studio.app	camo-studio
camtasia.app	camtasia
camunda modeler.app	camunda-modeler
canario.app	canario
candy crisis.app	candy-crisis
canva.app	canva
cap.app	cap
capacities.app	capacities
capcut.app	capcut
captain's deck.app	captains-deck
captain.app	captain
captin.app	captin
capto.app	capto
carbide create.app	carbide-create
cardhop.app	cardhop
cardinal.app	cardinal-search
cardo update.app	cardo-update
cardpresso.app	cardpresso
cashnotify.app	cashnotify
caskhub.app	caskhub
castr.app	castr
catch.app	catch
cate.app	cate
catlight.app	catlight
cavalry.app	cavalry
cc pocket.app	cc-pocket
cc switch.app	cc-switch
ccmenu.app	ccmenu
cd to.app	cd-to
celestia.app	celestia
cemu.app	cemu
chalk.app	chalk
changes.app	changes
channel works.app	channel-works
charmstone.app	charmstone
chatall.app	chatall
chatbox.app	chatbox
chatgpt classic.app	chatgpt-classic
chatgpt.app	chatgpt
chatterino.app	chatterino
chatwise.app	chatwise
chatwork.app	chatwork
cheetah3d.app	cheetah3d
cherry studio.app	cherry-studio
chia.app	chia
chipmunk.app	chipmunk
chiri.app	chiri
chitubox.app	chitubox
choice金融终端.app	choice-financial-terminal
choragus.app	choragus
chromium.app	ungoogled-chromium
chronoid.app	chronoid
chronycontrol.app	chronycontrol
chrysalis.app	chrysalis
cinderella.app	cinderella
cinebench.app	cinebench
cirrus.app	cirrus
cisdem data recovery.app	cisdem-data-recovery
cisdem document reader.app	cisdem-document-reader
cisdem duplicate finder.app	cisdem-duplicate-finder
cisdem pdf converter ocr.app	cisdem-pdf-converter-ocr
clarc.app	clarc
clarify.app	clarify
clariti.app	clariti
clash mi.app	clash-mi
clash verge.app	clash-verge-rev
classic marathon 2.app	marathon-2
classic marathon infinity.app	marathon-infinity
classic marathon.app	marathon
classicftp.app	classicftp
classroom mode for minecraft.app	classroom-mode-for-minecraft
claude status bar.app	claude-status-bar
claude-devtools.app	claude-devtools
claude.app	claude
claudebar.app	claudebar
clawd on desk.app	clawd-on-desk
cleanapp.app	cleanapp
cleanclip.app	cleanclip
cleaneronepro.app	cleaneronepro
cleanmymac-x.app	cleanmymac-zh
cleanmymac_5.app	cleanmymac
cleanmymac_5_cli.app	cleanmymac-cli
cleanshot x.app	cleanshot
cleanupbuddy.app	cleanupbuddy
clearance.app	clearance
clearvpn.app	clearvpn
clibor.app	clibor
clickcharts.app	clickcharts
clicker for netflix.app	clicker-for-netflix
clicker for youtube.app	clicker-for-youtube
clickshare.app	clickshare
clickup.app	clickup
cling.app	thelowtechguys-cling
clion 2026.3 eap.app	clion@eap
clion.app	clion
clipaste.app	clipaste
clipbook.app	clipbook
clipgrab.app	clipgrab
clips ide.app	clips-ide
clipy.app	clipy
clock signal.app	clock-signal
clocker.app	clocker
clockify desktop.app	clockify
clone hero.app	clone-hero
clop.app	clop
cloud pbx 2.0.app	cloud-pbx
cloudash.app	cloudash
cloudcompare.app	cloudcompare
cloudmounter.app	cloudmounter
cloudnet.app	cloudnet
cloudpouch.app	cloudpouch
cloudup.app	cloudup
cmake.app	cmake-app
cmd.app	cmd
cmtrace open.app	cmtrace-open
cmux.app	cmux
cockatrice.app	cockatrice
cocktail.app	cocktail
cocoapacketanalyzer.app	cocoapacketanalyzer
cocoarestclient.app	cocoarestclient
coconutbattery.app	coconutbattery
coconutid.app	coconutid
codebolt.app	codebolt
codebuddy cn.app	codebuddy-cn
codebuddy.app	codebuddy
codeedit.app	codeedit
codeexpander.app	codeexpander
codekit.app	codekit
coderunner.app	coderunner
codespace.app	codespace
codex monitor.app	codexmonitor
codex.app	codex-app
codexbar.app	codexbar
codexia.app	codexia
codux.app	codux
cog.app	cog-app
coherence x.app	coherence-x
coin wallet.app	coin-wallet
color oracle.app	color-oracle
color studio.app	color-studio
colorsnapper2.app	colorsnapper
colorwell.app	colorwell
colour contrast analyser.app	colour-contrast-analyser
combine pdfs.app	combine-pdfs
comet.app	comet
comfy desktop.app	comfy
command pad.app	command-pad
command-tab plus 2.app	command-tab-plus
commander one.app	commander-one
commander.app	commander
commandpost.app	commandpost
commandq.app	commandq
companion satellite.app	companion-satellite
companion.app	companion
components.app	novation-components
compositor.app	compositor
conar.app	conar
conductor.app	conductor
conduit.app	psiphon-conduit
confectionery.app	confectionery
connect fonts.app	connect-fonts
connectiq.app	connectiq
connectmenow4.app	connectmenow
console.app	console
context.app	context
contexts.app	contexts
contour.app	contour
contraste.app	contraste
cookie.app	cookie
copilot for xcode.app	copilot-for-xcode
copilot.app	copilot-money
copyclip 2.app	copyclip
coq-platform~8.20~2025.01.app	coq-platform
core tunnel.app	core-tunnel
corelocationcli.app	corelocationcli
cork.app	cork
cornerstone.app	cornerstone
corona tracker.app	corona-tracker
coscreen.app	coscreen
coteditor.app	coteditor
cotypist.app	cotypist
coverload.app	coverload
cpu-info.app	cpu-info
cpuinfo.app	cpuinfo
craft agents.app	craft-agents
craft.app	craft
creality print.app	creality-print
creality slicer.app	creality-slicer
creative.app	creative
crescendo.app	crescendo
crisp.app	crisp
cro-mag rally.app	cro-mag-rally
crossover.app	crossover
crosspaste.app	crosspaste
cryptomator.app	cryptomator
crystal.app	stravu-crystal
crystaldiffract.app	crystaldiffract
crystalfetch.app	crystalfetch
crystalmaker.app	crystalmaker
crystalviewer.app	crystalviewer
ctivo.app	ctivo
cubicsdr.app	cubicsdr
cura lulzbot edition.app	cura-lulzbot
curio.app	curio
curiosity.app	curiosity
curseforge.app	curseforge
cursor.app	cursor
cursorsense.app	cursorsense
cursr.app	cursr
customshortcuts.app	customshortcuts
cutter.app	cutter
cyberduck.app	cyberduck
cyberghost vpn.app	cyberghost-vpn
dadroit json viewer.app	dadroit-json-viewer
daisydisk.app	daisydisk
dangerzone.app	dangerzone
darkmodebuddy.app	darkmodebuddy
daruma.app	daruma
dash-qt.app	dash-dash
dashcam viewer.app	dashcam-viewer
data rescue.app	data-rescue
dataflare.app	dataflare
datagraph.app	datagraph
datagrip.app	datagrip
datasciencestudio.app	data-science-studio
datasette.app	datasette-desktop
datovka.app	datovka
datweatherdoe.app	datweatherdoe
davit.app	davit
dayflow.app	dayflow
db browser for sqlcipher nightly.app	db-browser-for-sqlcipher@nightly
db browser for sqlite nightly.app	db-browser-for-sqlite@nightly
db browser for sqlite.app	db-browser-for-sqlite
db pro.app	db-pro
dbeaver.app	dbeaver-community
dbeaveree.app	dbeaver-enterprise
dbeaverlite.app	dbeaverlite
dbeaverteam.app	dbeaverteam
dbeaverultimate.app	dbeaverultimate
dbgate.app	dbgate
dbngin.app	dbngin
dbvisualizer.app	dbvisualizer
dbvr.app	dbvr
dbx.app	dbx
dcommander.app	dcommander
dcp-o-matic 2 batch converter.app	dcp-o-matic-batch-converter
dcp-o-matic 2 combiner.app	dcp-o-matic-combiner
dcp-o-matic 2 disk writer.app	dcp-o-matic-disk-writer
dcp-o-matic 2 editor.app	dcp-o-matic-editor
dcp-o-matic 2 encode server.app	dcp-o-matic-encode-server
dcp-o-matic 2 kdm creator.app	dcp-o-matic-kdm-creator
dcp-o-matic 2 player.app	dcp-o-matic-player
dcp-o-matic 2 playlist editor.app	dcp-o-matic-playlist-editor
dcp-o-matic 2.app	dcp-o-matic
dcv viewer.app	dcv-viewer
ddnet-server.app	ddnet
ddnet.app	ddnet
deadbolt.app	deadbolt
decentr.app	decentr
deckset.app	deckset
decrediton.app	decrediton
deepchat.app	deepchat
deeper.app	deeper
deepgit.app	deepgit
deepl.app	deepl
deezer.app	deezer
default folder x.app	default-folder-x
default handler.app	default-handler
dehelper.app	dehelper
deltachat.app	deltachat
deltawalker.app	deltawalker
descript.app	descript
deskpad.app	deskpad
deskreen ce.app	deskreen
desktime.app	desktime
desktop composer.app	desktop-composer
desktoputility.app	desktoputility
detectx swift.app	detectx-swift
devcleaner.app	devcleaner
devilutionx.app	devilutionx
devin - next.app	devin-desktop@next
devin.app	devin-desktop
devkinsta.app	devkinsta
devknife.app	devknife
devonagent.app	devonagent
devonsphere express.app	devonsphere-express
devonthink.app	devonthink
devpod.app	devpod
devtoys.app	devtoys
devutils.app	devutils
dex.app	dana-dex
dhs.app	dhs
dia.app	thebrowsercompany-dia
diagnostics.app	diagnostics
dictionaries.app	dictionaries
diffusionbee.app	diffusionbee
digiexam.app	digiexam
dintch.app	dintch
direqual.app	direqual
